"","x1_age","x2_job","x3_marital","x4_education","x5_default","x6_housing","x7_loan","x8_contact","x9_month","x10_weekday","x11_duration","x12_campaign","x13_pdays","x14_previous","x15_poutcome","x16_empvar.rate","x17_consprice.idx","x18_consconf.idx","x19_euribor3m","x20_nr.employed","y_subscribe"
"18",38,"blue-collar","married","basic.9y","no","no","no","cellular","nov","wed",559,1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,0
"19",44,"technician","married","unknown","no","yes","no","cellular","apr","mon",104,1,999,1,"failure",-1.8,93.075,-47.1,1.466,5099.1,0
"20",34,"admin.","divorced","university.degree","no","yes","no","cellular","aug","mon",111,4,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
"21",25,"unemployed","single","high.school","unknown","no","no","telephone","may","wed",694,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,1
"22",31,"admin.","married","high.school","no","no","no","telephone","may","thu",55,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
"23",37,"entrepreneur","divorced","high.school","no","no","yes","cellular","jul","wed",245,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
"24",36,"blue-collar","married","unknown","unknown","no","no","telephone","may","tue",127,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
"25",26,"admin.","single","high.school","no","no","yes","telephone","may","mon",8,2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
"26",39,"blue-collar","single","basic.9y","unknown","yes","no","cellular","jul","mon",123,3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
"27",48,"housemaid","married","basic.4y","no","yes","no","telephone","sep","mon",9,1,999,0,"nonexistent",-1.1,94.199,-37.5,0.876,4963.6,0
"28",53,"entrepreneur","divorced","university.degree","no","no","no","cellular","nov","mon",179,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,0
"29",27,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",415,5,12,1,"success",-1.7,94.027,-38.3,0.886,4991.6,1
"30",54,"services","divorced","university.degree","no","no","no","cellular","may","tue",499,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,1
"31",26,"self-employed","married","university.degree","no","no","no","telephone","may","thu",13,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
"32",55,"housemaid","divorced","unknown","unknown","no","no","cellular","jul","thu",139,5,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,0
"33",31,"services","married","basic.9y","no","no","no","cellular","may","mon",400,1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,0
"34",46,"admin.","married","high.school","unknown","yes","no","cellular","may","wed",109,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
"35",32,"admin.","divorced","high.school","no","yes","no","telephone","may","thu",241,23,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
"36",22,"technician","single","unknown","no","no","no","cellular","may","tue",192,1,3,1,"success",-1.8,92.893,-46.2,1.266,5099.1,1
"37",30,"services","single","high.school","unknown","yes","no","cellular","may","fri",55,2,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,0
"38",36,"entrepreneur","divorced","basic.6y","no","yes","no","cellular","may","fri",53,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,0
"39",34,"technician","single","professional.course","no","no","no","cellular","may","tue",1221,2,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,1
"40",38,"management","married","university.degree","no","yes","no","cellular","nov","thu",182,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,0
"41",30,"admin.","married","university.degree","no","yes","no","cellular","apr","thu",316,1,999,1,"failure",-1.8,93.075,-47.1,1.365,5099.1,1
"42",59,"entrepreneur","married","university.degree","unknown","no","no","telephone","may","thu",147,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
"43",48,"technician","married","high.school","no","yes","no","cellular","aug","mon",711,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.861,5076.2,1
"44",44,"admin.","single","high.school","no","yes","no","telephone","may","thu",347,4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
"45",36,"technician","married","unknown","no","no","no","telephone","may","tue",105,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"46",57,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue",98,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"47",28,"technician","single","high.school","no","yes","yes","cellular","may","thu",609,1,11,1,"success",-1.8,92.893,-46.2,1.327,5099.1,1
"48",34,"admin.","single","university.degree","no","no","no","cellular","apr","tue",142,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.423,5099.1,1
"49",48,"blue-collar","married","basic.9y","no","no","no","cellular","apr","fri",50,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
"50",33,"student","divorced","professional.course","no","no","no","cellular","aug","mon",1110,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,1
"51",25,"blue-collar","single","basic.6y","unknown","no","no","cellular","may","wed",793,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
"52",42,"admin.","single","high.school","no","yes","no","cellular","apr","fri",392,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
"53",57,"housemaid","married","basic.4y","no","no","no","cellular","apr","wed",224,2,6,1,"success",-1.8,93.749,-34.6,0.642,5008.7,1
"54",41,"blue-collar","married","unknown","unknown","no","no","telephone","may","mon",55,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"55",37,"services","married","high.school","no","yes","no","telephone","may","tue",522,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
"56",44,"blue-collar","married","basic.4y","no","yes","yes","telephone","dec","mon",119,1,999,0,"nonexistent",-0.2,92.756,-45.9,3.053,5176.3,1
"57",80,"housemaid","married","basic.4y","no","yes","yes","cellular","apr","tue",232,1,12,1,"success",-1.8,93.749,-34.6,0.644,5008.7,1
"58",35,"technician","married","professional.course","no","yes","yes","cellular","aug","mon",882,4,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,1
"59",56,"retired","married","university.degree","no","no","no","cellular","may","wed",108,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,1
"60",38,"unemployed","married","basic.4y","unknown","yes","yes","telephone","may","tue",206,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"61",33,"technician","single","professional.course","no","yes","no","cellular","mar","tue",459,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.646,5008.7,1
"62",29,"admin.","single","university.degree","no","no","no","cellular","aug","thu",15,9,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,0
"63",32,"admin.","married","high.school","no","no","no","cellular","aug","thu",876,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,1
"64",41,"unemployed","married","high.school","no","yes","yes","cellular","sep","wed",175,1,6,1,"success",-1.1,94.199,-37.5,0.879,4963.6,1
"65",48,"self-employed","married","basic.9y","unknown","no","no","telephone","may","mon",31,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"66",77,"retired","married","basic.4y","no","yes","no","cellular","sep","thu",190,1,999,0,"nonexistent",-1.1,94.199,-37.5,0.879,4963.6,1
"67",29,"admin.","married","high.school","no","yes","no","cellular","jul","tue",681,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,1
"68",49,"management","divorced","high.school","unknown","yes","no","telephone","may","mon",145,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"69",29,"self-employed","married","basic.6y","unknown","yes","no","telephone","may","tue",32,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"70",51,"blue-collar","married","basic.6y","no","no","no","cellular","aug","fri",393,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
"71",36,"technician","married","high.school","no","yes","no","telephone","jun","wed",73,7,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
"72",29,"admin.","single","university.degree","no","yes","yes","cellular","may","tue",76,1,999,2,"failure",-1.8,92.893,-46.2,1.344,5099.1,0
"73",31,"blue-collar","married","basic.9y","unknown","yes","yes","cellular","jul","wed",16,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
"74",42,"blue-collar","married","basic.4y","no","yes","no","cellular","may","fri",58,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,0
"75",39,"admin.","single","high.school","no","no","no","telephone","jun","wed",213,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
"76",38,"management","married","university.degree","no","yes","no","cellular","nov","thu",82,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,0
"77",45,"admin.","married","basic.9y","unknown","yes","no","telephone","may","thu",111,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
"78",29,"technician","single","professional.course","no","no","yes","cellular","nov","fri",127,1,6,2,"success",-1.1,94.767,-50.8,1.04,4963.6,0
"79",33,"self-employed","divorced","university.degree","no","yes","no","cellular","may","thu",155,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,0
"80",35,"technician","married","professional.course","no","yes","no","telephone","jun","tue",589,6,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
"81",35,"technician","divorced","professional.course","no","no","no","telephone","may","fri",57,10,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
"82",40,"technician","divorced","professional.course","no","no","no","cellular","aug","tue",279,4,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
"83",40,"blue-collar","married","basic.9y","unknown","yes","no","telephone","jul","mon",94,2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
"84",44,"admin.","married","basic.6y","no","no","no","cellular","jul","wed",368,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
"85",32,"admin.","divorced","university.degree","no","yes","no","telephone","aug","thu",262,7,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
"86",28,"student","single","unknown","no","yes","no","cellular","aug","thu",111,1,999,1,"failure",-2.9,92.201,-31.4,0.883,5076.2,0
"87",35,"admin.","single","university.degree","no","yes","no","cellular","aug","thu",116,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.883,5076.2,0
"88",55,"admin.","married","university.degree","no","no","yes","telephone","jul","fri",498,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
"89",43,"blue-collar","married","basic.9y","unknown","yes","no","cellular","may","thu",543,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
"90",28,"admin.","married","university.degree","no","yes","no","cellular","aug","fri",140,1,999,1,"failure",-2.9,92.201,-31.4,0.881,5076.2,0
"91",40,"housemaid","married","basic.4y","unknown","no","no","cellular","jul","fri",504,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
"92",31,"management","single","university.degree","no","yes","no","cellular","may","thu",8,4,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,0
"93",31,"admin.","single","university.degree","no","yes","no","cellular","jul","tue",72,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
"94",26,"blue-collar","married","basic.9y","no","yes","yes","cellular","apr","thu",251,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,1
"95",40,"services","single","high.school","no","no","no","cellular","apr","mon",1332,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,1
"96",51,"blue-collar","married","professional.course","no","no","yes","cellular","aug","thu",17,5,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,0
"97",49,"housemaid","single","university.degree","no","yes","no","cellular","dec","mon",583,2,6,1,"success",-3,92.713,-33,0.717,5023.5,1
"98",27,"services","married","high.school","no","no","no","telephone","jun","mon",257,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
"99",73,"retired","married","basic.4y","no","yes","no","cellular","sep","fri",96,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.773,5017.5,0
"100",26,"technician","single","university.degree","no","yes","no","cellular","dec","tue",296,1,5,1,"success",-3,92.713,-33,0.707,5023.5,1
"101",35,"blue-collar","married","basic.4y","unknown","yes","no","cellular","jul","mon",56,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
"102",34,"admin.","single","high.school","no","no","no","cellular","jul","wed",127,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
"103",23,"self-employed","single","basic.9y","no","yes","no","cellular","may","thu",64,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
"104",54,"management","divorced","university.degree","no","yes","no","telephone","jun","tue",183,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
"105",44,"unemployed","single","basic.4y","no","no","no","telephone","jun","wed",33,1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
"106",51,"admin.","married","university.degree","unknown","unknown","unknown","cellular","aug","wed",332,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
"107",54,"technician","single","university.degree","unknown","no","no","telephone","may","mon",255,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"108",56,"housemaid","divorced","basic.4y","no","no","no","cellular","aug","wed",89,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.854,5076.2,0
"109",48,"blue-collar","married","basic.4y","unknown","yes","no","telephone","jun","mon",61,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
"110",42,"technician","married","professional.course","no","yes","yes","cellular","aug","wed",543,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.879,5076.2,0
"111",48,"admin.","divorced","university.degree","unknown","no","no","cellular","aug","tue",58,5,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
"112",38,"blue-collar","divorced","basic.9y","no","no","no","cellular","jul","fri",764,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,1
"113",39,"services","divorced","basic.9y","no","yes","no","telephone","may","thu",51,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
"114",40,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","tue",107,4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
"115",28,"technician","single","professional.course","no","no","no","telephone","jun","thu",508,2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,1
"116",25,"services","married","professional.course","unknown","no","no","telephone","may","thu",125,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
"117",30,"technician","single","high.school","no","no","no","cellular","aug","mon",638,4,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,1
"118",26,"services","married","high.school","no","yes","yes","cellular","jul","mon",114,2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
"119",33,"admin.","married","high.school","no","no","no","telephone","may","fri",159,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"120",39,"technician","single","professional.course","unknown","no","no","telephone","jun","mon",432,4,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,1
"121",29,"self-employed","married","university.degree","no","no","no","cellular","mar","wed",101,1,999,0,"nonexistent",-1.8,92.843,-50,1.663,5099.1,0
"122",28,"technician","single","professional.course","no","yes","no","cellular","may","wed",244,1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,0
"123",37,"entrepreneur","married","university.degree","no","yes","no","cellular","jul","mon",183,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
"124",37,"admin.","married","high.school","unknown","no","no","cellular","may","mon",547,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
"125",39,"admin.","married","high.school","no","yes","no","cellular","aug","tue",101,2,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,0
"126",49,"blue-collar","married","basic.9y","unknown","no","no","cellular","mar","mon",301,1,3,1,"success",-1.8,93.369,-34.8,0.652,5008.7,1
"127",27,"blue-collar","married","basic.6y","no","yes","no","cellular","jul","thu",209,4,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,0
"128",29,"admin.","single","high.school","no","yes","no","telephone","jun","wed",356,2,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,0
"129",48,"technician","married","university.degree","unknown","no","no","cellular","aug","fri",66,4,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,0
"130",60,"admin.","married","high.school","no","no","no","cellular","apr","thu",447,1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,1
"131",34,"technician","single","university.degree","no","yes","yes","cellular","aug","wed",455,3,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,1
"132",50,"technician","married","professional.course","no","yes","no","cellular","nov","thu",161,1,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,0
"133",38,"technician","divorced","high.school","no","no","no","telephone","apr","fri",320,3,6,1,"success",-1.8,93.075,-47.1,1.405,5099.1,1
"134",38,"services","married","high.school","unknown","no","no","telephone","jun","tue",113,11,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
"135",30,"blue-collar","single","basic.9y","no","no","no","cellular","may","wed",305,8,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
"136",30,"student","single","high.school","no","no","no","cellular","aug","tue",592,3,999,1,"failure",-1.7,94.027,-38.3,0.899,4991.6,1
"137",38,"technician","married","university.degree","no","no","no","cellular","mar","tue",59,1,999,0,"nonexistent",-1.8,92.843,-50,1.687,5099.1,0
"138",52,"housemaid","married","basic.4y","unknown","no","no","telephone","jun","thu",92,2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
"139",59,"retired","married","basic.6y","no","yes","no","cellular","jul","tue",196,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
"140",33,"unemployed","single","university.degree","no","yes","no","cellular","aug","thu",89,2,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,0
"141",21,"student","single","high.school","no","yes","no","cellular","oct","fri",149,1,999,0,"nonexistent",-3.4,92.431,-26.9,0.73,5017.5,1
"142",31,"admin.","divorced","university.degree","no","yes","yes","cellular","mar","mon",174,2,999,1,"failure",-1.8,92.843,-50,1.56,5099.1,1
"143",55,"admin.","divorced","unknown","unknown","no","no","cellular","may","mon",178,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,0
"144",32,"unemployed","single","professional.course","no","yes","yes","cellular","jun","wed",310,1,999,0,"nonexistent",-1.7,94.055,-39.8,0.704,4991.6,1
"145",32,"admin.","single","university.degree","no","unknown","unknown","cellular","jul","mon",55,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
"146",39,"services","married","university.degree","no","no","no","cellular","apr","thu",237,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,1
"147",45,"technician","married","professional.course","no","no","no","cellular","nov","wed",193,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,0
"148",35,"blue-collar","married","professional.course","no","yes","no","cellular","nov","tue",114,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
"149",35,"blue-collar","married","basic.9y","unknown","no","no","cellular","jul","thu",1399,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,1
"150",45,"technician","married","high.school","no","yes","no","cellular","jul","tue",88,5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
"151",27,"self-employed","married","professional.course","no","no","no","telephone","nov","wed",669,1,999,0,"nonexistent",-0.1,93.2,-42,4.663,5195.8,1
"152",57,"admin.","married","university.degree","no","yes","no","telephone","may","thu",213,4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
"153",41,"admin.","married","high.school","no","unknown","unknown","telephone","jun","mon",548,2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,0
"154",37,"technician","single","university.degree","no","no","no","telephone","may","thu",156,5,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
"155",45,"admin.","married","basic.9y","no","yes","yes","cellular","jul","mon",181,2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
"156",29,"admin.","single","university.degree","no","yes","no","cellular","apr","wed",513,1,5,2,"success",-1.8,93.075,-47.1,1.498,5099.1,0
"157",40,"technician","single","professional.course","no","yes","no","cellular","aug","wed",142,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
"158",31,"admin.","single","basic.9y","no","no","no","cellular","jul","wed",1432,5,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
"159",36,"admin.","married","high.school","no","no","yes","cellular","jul","thu",18,12,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
"160",24,"technician","married","professional.course","no","yes","no","cellular","may","mon",342,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,0
"161",27,"admin.","married","high.school","unknown","no","yes","telephone","may","tue",318,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
"162",41,"blue-collar","married","basic.6y","unknown","no","no","cellular","may","tue",278,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,0
"163",30,"admin.","single","university.degree","no","no","no","cellular","jun","thu",144,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,0
"164",54,"management","married","high.school","unknown","no","no","cellular","may","mon",273,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
"165",49,"blue-collar","married","basic.4y","no","no","no","telephone","jun","tue",188,5,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
"166",36,"blue-collar","married","basic.6y","no","no","no","cellular","nov","wed",130,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,0
"167",34,"technician","married","professional.course","no","no","no","cellular","may","tue",278,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
"168",33,"blue-collar","married","basic.9y","no","no","yes","cellular","nov","thu",200,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,0
"169",48,"admin.","married","high.school","no","no","no","cellular","aug","thu",663,2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,1
"170",27,"blue-collar","married","basic.9y","unknown","yes","yes","telephone","may","mon",115,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"171",26,"admin.","single","high.school","no","no","no","cellular","jul","thu",241,4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
"172",37,"technician","married","university.degree","unknown","yes","no","telephone","may","mon",351,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"173",30,"technician","divorced","professional.course","no","yes","no","telephone","may","thu",366,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
"174",33,"admin.","married","high.school","no","yes","no","cellular","may","tue",495,1,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,0
"175",37,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","wed",357,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,0
"176",30,"self-employed","married","professional.course","unknown","yes","no","cellular","nov","tue",273,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
"177",30,"blue-collar","married","basic.4y","no","no","no","telephone","may","wed",445,2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
"178",56,"services","single","high.school","no","yes","no","cellular","nov","fri",219,2,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,0
"179",47,"technician","divorced","high.school","no","yes","no","cellular","jul","thu",100,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
"180",35,"admin.","single","university.degree","no","no","no","cellular","nov","tue",898,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,1
"181",41,"blue-collar","divorced","basic.6y","no","yes","no","telephone","may","fri",174,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"182",33,"blue-collar","single","basic.4y","no","no","yes","cellular","may","tue",807,3,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,0
"183",44,"entrepreneur","married","university.degree","unknown","no","yes","cellular","jul","thu",13,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
"184",29,"blue-collar","married","basic.6y","no","yes","no","cellular","may","thu",17,6,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
"185",52,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue",371,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
"186",27,"blue-collar","single","university.degree","no","yes","no","cellular","apr","thu",246,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,1
"187",41,"technician","married","professional.course","no","no","no","cellular","mar","fri",229,2,999,0,"nonexistent",-1.8,92.843,-50,1.531,5099.1,1
"188",30,"technician","married","university.degree","no","yes","no","telephone","may","wed",170,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
